Time (DDDHHmm),Mean_temp (K)
0980000,245.71186553522358
0980010,245.70093342614695
0980020,245.68873582470258
0980030,245.67812227729374
0980040,245.6646556862374
0980050,245.65066118420953
0980100,245.62981350271522
0980110,245.61561517272662
0980120,245.59477993715788
0980130,245.57618194297092
0980140,245.5570995567001
0980150,245.5396437964475
0980200,245.51444741542562
0980210,245.4843868444611
0980220,245.4634836114882
0980230,245.4345043462015
0980240,245.40703966864425
0980250,245.3845767158155
0980300,245.35246306178615
0980310,245.33058234490397
0980320,245.29000352273738
0980330,245.26359242985092
0980340,245.2362637556575
0980350,245.2029988630411
0980400,245.17300729767194
0980410,245.13897221617734
0980420,245.1142883061559
0980430,245.0972328185098
0980440,245.02184676971285
0980450,
0980500,245.07242973340536
0980510,245.05727363040597
0980520,245.0341842790076
0980530,244.9739543373306
0980540,244.9537905857558
0980550,244.9263078260353
0980600,244.8995793625663
0980610,244.87115217129346
0980620,244.82998305672868
0980630,244.7898232462735
0980640,244.74731123727904
0980650,244.70803627462604
0980700,244.66736646482457
0980710,244.6233290238123
0980720,244.59304266965955
0980730,244.56264763404158
0980740,244.53374450940098
0980750,244.5026636984227
0980800,244.48262221569337
0980810,244.46362600079186
0980820,244.44593015386835
0980830,244.41926190038342
0980840,244.40072377235424
0980850,244.38107224094998
0980900,244.35343753242134
0980910,244.3413504717502
0980920,244.3149505898913
0980930,244.29417809278664
0980940,244.27583727461231
0980950,244.25550768351627
0981000,244.24597874955109
0981010,244.24115704783802
0981020,244.22741256797923
0981030,244.22556572759999
0981040,244.2252789654799
0981050,244.22052787803497
0981100,244.22471692290296
0981110,244.2403018835384
0981120,244.24632893936706
0981130,244.25645248273736
0981140,244.26338611883432
0981150,244.27846751531126
0981200,244.29233121993067
0981210,244.3010434164649
0981220,244.30081894935023
0981230,244.3131825434713
0981240,244.32290573014058
0981250,244.32654730437375
0981300,244.34503268123345
0981310,244.3527826774445
0981320,244.36689390922677
0981330,244.38077182841283
0981340,244.39347661140712
0981350,244.40794157758674
0981400,244.4214178677472
0981410,244.43372117174664
0981420,244.4444438480092
0981430,244.4581577100159
0981440,244.46793261194279
0981450,244.47091439715186
0981500,244.4798999747977
0981510,244.49368887778766
0981520,244.50739950700506
0981530,244.51966809426165
0981540,244.5322404502876
0981550,244.5469597567329
0981600,244.55924523872335
0981610,244.57031374545787
0981620,244.58327749988695
0981630,244.5906622175093
0981640,244.59795610679964
0981650,244.600909380255
0981700,244.58027126160079
0981710,244.58807202634057
0981720,244.589524594935
0981730,244.589183319957
0981740,244.5884074500908
0981750,244.5899971385064
0981800,244.5831404458872
0981810,244.58534799690557
0981820,244.58186617732218
0981830,244.58083981938162
0981840,244.56972798209353
0981850,244.572371329957
0981900,244.56615255049596
0981910,244.55764909590306
0981920,244.54329789931916
0981930,244.53717194829608
0981940,244.52864219263373
0981950,244.51864180904755
0982000,244.50714671035533
0982010,244.49336364757997
0982020,244.47918029313396
0982030,244.464817844724
0982040,244.44784830755773
0982050,244.43579171792032
0982100,244.41752281541093
0982110,244.39462119295092
0982120,244.38734431734792
0982130,244.37242840291879
0982140,244.359086850808
0982150,244.34580553563498
0982200,244.32995896258893
0982210,244.3136144631224
0982220,244.29692568370007
0982230,244.2841775464933
0982240,244.27043982836335
0982250,244.25925266528412
0982300,244.24042240797593
0982310,244.2321164237866
0982320,244.20970783455027
0982330,244.1984264389489
0982340,244.18110343839498
0982350,244.16571034406422
0990000,244.15155713023813
0990010,244.13566847117656
0990020,244.11815382102267
0990030,244.10029148560503
0990040,244.08159243080775
0990050,244.0625824944443
0990100,244.0540809153437
0990110,244.0329867279164
0990120,244.01456523913814
0990130,243.99785906576975
0990140,243.9827592875703
0990150,243.9714726445834
0990200,243.95661525635518
0990210,243.94585755707985
0990220,243.92856321150848
0990230,243.91252340555093
0990240,243.90564361870787
0990250,243.8937088614777
0990300,243.88417941716045
0990310,243.88333845663536
0990320,243.87470783278215
0990330,243.87275591805323
0990340,243.87970972614212
0990350,243.88251728228008
0990400,243.8821927719388
0990410,243.87963354636247
0990420,243.88361783245304
0990430,243.8863073650112
0990440,243.87524097356496
0990450,243.90124567572084
0990500,243.950227924722
0990510,243.95216430695106
0990520,243.93539948999907
0990530,243.90631595980622
0990540,243.9038329232848
0990550,243.89512339913134
0990600,243.88673354459303
0990610,243.88167920916158
0990620,243.866988661119
0990630,243.85083738081832
0990640,243.8309765623258
0990650,243.8141662493522
0990700,243.79882232915998
0990710,243.77976258790414
0990720,243.75715691818309
0990730,243.72771074174668
0990740,243.7059634767638
0990750,243.68682458679513
