,m,datetime
0,245.7118655,08/04/2019 00:00
1,245.7009334,08/04/2019 00:10
2,245.6887358,08/04/2019 00:20
3,245.6781223,08/04/2019 00:30
4,245.6646557,08/04/2019 00:40
5,245.6506612,08/04/2019 00:50
6,245.6298135,08/04/2019 01:00
7,245.6156152,08/04/2019 01:10
8,245.5947799,08/04/2019 01:20
9,245.5761819,08/04/2019 01:30
10,245.5570996,08/04/2019 01:40
11,245.5396438,08/04/2019 01:50
12,245.5144474,08/04/2019 02:00
13,245.4843868,08/04/2019 02:10
14,245.4634836,08/04/2019 02:20
15,245.4345043,08/04/2019 02:30
16,245.4070397,08/04/2019 02:40
17,245.3845767,08/04/2019 02:50
18,245.3524631,08/04/2019 03:00
19,245.3305823,08/04/2019 03:10
20,245.2900035,08/04/2019 03:20
21,245.2635924,08/04/2019 03:30
22,245.2362638,08/04/2019 03:40
23,245.2029989,08/04/2019 03:50
24,245.1730073,08/04/2019 04:00
25,245.1389722,08/04/2019 04:10
26,245.1142883,08/04/2019 04:20
27,245.0972328,08/04/2019 04:30
28,245.0218468,08/04/2019 04:40
29,,08/04/2019 04:50
30,245.0724297,08/04/2019 05:00
31,245.0572736,08/04/2019 05:10
32,245.0341843,08/04/2019 05:20
33,244.9739543,08/04/2019 05:30
34,244.9537906,08/04/2019 05:40
35,244.9263078,08/04/2019 05:50
36,244.8995794,08/04/2019 06:00
37,244.8711522,08/04/2019 06:10
38,244.8299831,08/04/2019 06:20
39,244.7898232,08/04/2019 06:30
40,244.7473112,08/04/2019 06:40
41,244.7080363,08/04/2019 06:50
42,244.6673665,08/04/2019 07:00
43,244.623329,08/04/2019 07:10
44,244.5930427,08/04/2019 07:20
45,244.5626476,08/04/2019 07:30
46,244.5337445,08/04/2019 07:40
47,244.5026637,08/04/2019 07:50
48,244.4826222,08/04/2019 08:00
49,244.463626,08/04/2019 08:10
50,244.4459302,08/04/2019 08:20
51,244.4192619,08/04/2019 08:30
52,244.4007238,08/04/2019 08:40
53,244.3810722,08/04/2019 08:50
54,244.3534375,08/04/2019 09:00
55,244.3413505,08/04/2019 09:10
