,Mean_temp (K),datetime
0,245.5612746854049,2019-04-08 00:00:00
1,245.55805922464043,2019-04-08 00:10:00
2,245.53883748501067,2019-04-08 00:20:00
3,245.53696013789505,2019-04-08 00:30:00
4,245.52903807201542,2019-04-08 00:40:00
5,245.5169747059593,2019-04-08 00:50:00
6,245.49383841048459,2019-04-08 01:00:00
7,245.48603859468787,2019-04-08 01:10:00
8,245.46317845443556,2019-04-08 01:20:00
9,245.46393773976502,2019-04-08 01:30:00
10,245.42626697456035,2019-04-08 01:40:00
11,245.40597503487808,2019-04-08 01:50:00
12,245.38708218778703,2019-04-08 02:00:00
13,245.37057361248574,2019-04-08 02:10:00
14,245.3520502044465,2019-04-08 02:20:00
15,245.3253571638491,2019-04-08 02:30:00
16,245.2999510495316,2019-04-08 02:40:00
17,245.2664358272774,2019-04-08 02:50:00
18,245.25083149265146,2019-04-08 03:00:00
19,245.22092702568776,2019-04-08 03:10:00
20,245.1909831332616,2019-04-08 03:20:00
21,245.1566940706493,2019-04-08 03:30:00
22,245.12593654219762,2019-04-08 03:40:00
23,245.090852570746,2019-04-08 03:50:00
24,245.06263641204967,2019-04-08 04:00:00
25,245.03773833015774,2019-04-08 04:10:00
26,245.01278879163968,2019-04-08 04:20:00
27,244.9911035270887,2019-04-08 04:30:00
28,244.96797692067864,2019-04-08 04:40:00
29,244.94242649313517,2019-04-08 04:50:00
30,244.92621742929143,2019-04-08 05:00:00
31,244.9057972294751,2019-04-08 05:10:00
32,244.8818578005524,2019-04-08 05:20:00
33,244.85166848410412,2019-04-08 05:30:00
34,244.82492355876687,2019-04-08 05:40:00
35,244.7958505966617,2019-04-08 05:50:00
36,244.7609462489205,2019-04-08 06:00:00
37,244.7059913186811,2019-04-08 06:10:00
38,244.6633136975153,2019-04-08 06:20:00
39,244.61515287797184,2019-04-08 06:30:00
40,244.56853922515168,2019-04-08 06:40:00
41,244.5354225933049,2019-04-08 06:50:00
42,244.4971972096867,2019-04-08 07:00:00
43,244.4536529414488,2019-04-08 07:10:00
44,244.41799148655724,2019-04-08 07:20:00
45,244.39203411688587,2019-04-08 07:30:00
46,244.35740405158018,2019-04-08 07:40:00
47,244.32843774318107,2019-04-08 07:50:00
48,244.31305825196685,2019-04-08 08:00:00
49,244.29510122109284,2019-04-08 08:10:00
50,244.2635770235617,2019-04-08 08:20:00
51,244.25095339034482,2019-04-08 08:30:00
52,244.22033114207505,2019-04-08 08:40:00
53,244.1626278169782,2019-04-08 08:50:00
54,244.17938379094738,2019-04-08 09:00:00
55,244.2307974760065,2019-04-08 09:10:00
56,244.2085923683643,2019-04-08 09:20:00
57,244.20471142690758,2019-04-08 09:30:00
58,244.1614702537696,2019-04-08 09:40:00
59,244.1430891413666,2019-04-08 09:50:00
60,244.11826808518242,2019-04-08 10:00:00
61,244.1109759538365,2019-04-08 10:10:00
62,244.1132514470903,2019-04-08 10:20:00
63,244.14318623337556,2019-04-08 10:30:00
64,244.58421158904733,2019-04-08 10:40:00
65,244.81070623041904,2019-04-08 10:50:00
